RecipientCountryCode,Year,ReportingOrgID,ReportingOrgName,ReportingOrgType,TransactionProviderID,TransactionProviderName,TransactionProviderType,checkID,ReportingOrgIDRevised,ReportingOrgNameRevised,ReportingOrgTypeRevised
BD,2022,NO-BRC-971277882,Norad - Norwegian Agency for Development Cooperation,10,NO-BRC-971277882,Norad - Norwegian Agency for Development Cooperation,NA,BD-2022-NO-BRC-971277882-Norad - Norwegian Agency for Development Cooperation-NO-BRC-971277882-Norad - Norwegian Agency for Development Cooperation,NO-BRC-971277882,Norad - Norwegian Agency for Development Cooperation,10
BD,2021,NO-BRC-971277882,Norad - Norwegian Agency for Development Cooperation,10,NO-BRC-971277882,Norad - Norwegian Agency for Development Cooperation,NA,BD-2021-NO-BRC-971277882-Norad - Norwegian Agency for Development Cooperation-NO-BRC-971277882-Norad - Norwegian Agency for Development Cooperation,NO-BRC-971277882,Norad - Norwegian Agency for Development Cooperation,10
MM,2023,NO-BRC-971277882,Norad - Norwegian Agency for Development Cooperation,10,NO-BRC-971277882,Norad - Norwegian Agency for Development Cooperation,NA,MM-2023-NO-BRC-971277882-Norad - Norwegian Agency for Development Cooperation-NO-BRC-971277882-Norad - Norwegian Agency for Development Cooperation,NO-BRC-971277882,Norad - Norwegian Agency for Development Cooperation,10
MM,2021,NO-BRC-971277882,Norad - Norwegian Agency for Development Cooperation,10,NO-BRC-972417920-1,Norwegian Ministry of Foreign Affairs - Embassies,NA,MM-2021-NO-BRC-971277882-Norad - Norwegian Agency for Development Cooperation-NO-BRC-972417920-1-Norwegian Ministry of Foreign Affairs - Embassies,NO-BRC-971277882,Norad - Norwegian Agency for Development Cooperation,10
BD,2023,NO-BRC-971277882,Norad - Norwegian Agency for Development Cooperation,10,NO-BRC-971277882,Norad - Norwegian Agency for Development Cooperation,NA,BD-2023-NO-BRC-971277882-Norad - Norwegian Agency for Development Cooperation-NO-BRC-971277882-Norad - Norwegian Agency for Development Cooperation,NO-BRC-971277882,Norad - Norwegian Agency for Development Cooperation,10
BD,2024,NO-BRC-971277882,Norad - Norwegian Agency for Development Cooperation,10,NO-BRC-971277882,Norad - Norwegian Agency for Development Cooperation,NA,BD-2024-NO-BRC-971277882-Norad - Norwegian Agency for Development Cooperation-NO-BRC-971277882-Norad - Norwegian Agency for Development Cooperation,NO-BRC-971277882,Norad - Norwegian Agency for Development Cooperation,10
MM,2022,NO-BRC-971277882,Norad - Norwegian Agency for Development Cooperation,10,NO-BRC-972417920-1,Norwegian Ministry of Foreign Affairs - Embassies,NA,MM-2022-NO-BRC-971277882-Norad - Norwegian Agency for Development Cooperation-NO-BRC-972417920-1-Norwegian Ministry of Foreign Affairs - Embassies,NO-BRC-971277882,Norad - Norwegian Agency for Development Cooperation,10
MM,2024,NO-BRC-971277882,Norad - Norwegian Agency for Development Cooperation,10,NO-BRC-972417920-1,Norwegian Ministry of Foreign Affairs - Embassies,NA,MM-2024-NO-BRC-971277882-Norad - Norwegian Agency for Development Cooperation-NO-BRC-972417920-1-Norwegian Ministry of Foreign Affairs - Embassies,NO-BRC-971277882,Norad - Norwegian Agency for Development Cooperation,10
MM,2024,NO-BRC-971277882,Norad - Norwegian Agency for Development Cooperation,10,NO-BRC-971277882,Norad - Norwegian Agency for Development Cooperation,NA,MM-2024-NO-BRC-971277882-Norad - Norwegian Agency for Development Cooperation-NO-BRC-971277882-Norad - Norwegian Agency for Development Cooperation,NO-BRC-971277882,Norad - Norwegian Agency for Development Cooperation,10
MM,2023,NO-BRC-971277882,Norad - Norwegian Agency for Development Cooperation,10,NO-BRC-972417920-1,Norwegian Ministry of Foreign Affairs - Embassies,NA,MM-2023-NO-BRC-971277882-Norad - Norwegian Agency for Development Cooperation-NO-BRC-972417920-1-Norwegian Ministry of Foreign Affairs - Embassies,NO-BRC-971277882,Norad - Norwegian Agency for Development Cooperation,10
